meAsur3;gender_coded;EducationType;degreeType;Period;VALUE
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2020/'21;NA
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2021/'22;NA
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2011/'12;19300
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2012/'13;18240
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2013/'14;17860
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2014/'15;18830
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2015/'16;18860
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2016/'17;19150
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2017/'18;18920
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2018/'19;19880
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2019/'20;21010
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2020/'21;23850
Gediplomeerden;4000;Wetenschappelijk onderwijs;Bachelor;2021/'22;23420
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2011/'12;18880
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2012/'13;16810
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2013/'14;17960
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2014/'15;19290
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2015/'16;19690
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2016/'17;20070
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2017/'18;21450
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2018/'19;22160
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2019/'20;22820
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2020/'21;25670
Gediplomeerden;4000;Wetenschappelijk onderwijs;Wo-master;2021/'22;26140
